,title,OP,desc,date,url
48,Trump administration to review Oracle’s TikTok deal this week,0.8960047,Panel will recommend whether to approve ‘technical partnership’ with China’s ByteDance,2020-09-14T17:52:16.344163Z,https://www.ft.com/content/0ccd4a25-381f-46a7-a9e6-ee12ecf1aa88
35,"GM to reveal, start taking reservations for Hummer EV on October 20",0.9860337,"GM will reveal its GMC -branded electric Hummer on October 20, the same day that the company will also begin taking customer reservations for the new vehicle that it describes as a “super truck.” The Hummer EV debut, which was originally scheduled to occur Ma…",2020-09-14T18:06:10Z,https://techcrunch.com/2020/09/14/gm-to-reveal-start-taking-reservations-for-hummer-ev-on-october-20/
71,"The impact the ""Rising American Electorate"" could have on election",0.9868136,"A group of voters known as the ""Rising American Electorate"" could have an important impact in the 2020 election. CBSN political reporter Caitlin Huey-Burns joins CBSN with the latest in the series, ""America's Right to Vote.""",2020-09-14T17:32:25+00:00,https://www.cbsnews.com/video/the-impact-the-rising-american-electorate-could-have-on-election/
24,Get to the growth stage at TechCrunch Disrupt this week,0.9784429,"Congratulations, you landed your Series A round. What’s next? Your Series B, and a lot of twists and turns. Yasmin Razavi of Spark Capital and Elliott Robinson of Bessemer are joining us at TechCrunch Disrupt 2020 (happening right now!) to talk about how earl…",2020-09-14T18:10:04Z,https://techcrunch.com/2020/09/14/get-to-the-growth-stage-at-techcrunch-disrupt-this-week/
52,"YouTube unlawfully violates kids’ privacy, new $3.2B lawsuit claims",0.9991827,"YouTube is “a weird technicolored nightmare” for families, nonprofit alleges.",2020-09-14T17:51:48+00:00,https://arstechnica.com/tech-policy/2020/09/google-faces-3-2b-lawsuit-over-claims-it-violated-childrens-privacy/
61,"Number of people claiming PUP falls below 210,000",0.8757723,"The number of people claiming the Pandemic Unemployment Payment has fallen to just under 210,000 - down 64% on the peak in May, when almost 600,000 were dependent on the payment for income support.",2020-09-14T17:40:01Z,https://www.rte.ie/news/coronavirus/2020/0914/1165176-pandemic-unemployment-payment/
44,15 Hilarious Gay Tweets From This Week,0.98599696,The sidewalk graphic is extremely accurate.,2020-09-14T17:52:22.7956818Z,https://www.buzzfeed.com/ryanschocket2/gay-tweets-from-this-week-sept14
50,Millennials are killing the ethnic aisle — and that's a good thing - Business Insider,0.9528399,"The definition of ""mainstream"" in American cuisine is in perpetual motion, and so is the definition of what is outside of it, experts say.",2020-09-14T17:52:16Z,http://uk.businessinsider.com/millennials-killing-the-ethnic-aisle-and-thats-a-good-thing-2020-9
30,32 Products That Seem Like They Were Specifically Invented For Busy People,0.9983524,"We can't get more hours in the day, so these products will have to suffice.",2020-09-14T18:07:24.6094917Z,https://www.buzzfeed.com/samanthawieder/products-for-busy-people-september-2020
46,Nikola admits rolling truck down hill as it counters ‘fraud’ claims,0.99953634,"Start-up issues 2,700-word rebuttal to ‘false and misleading’ short seller report",2020-09-14T17:52:18.2030754Z,https://www.ft.com/content/a875fe3f-f59e-4dcb-aebc-ee54280122be
