,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'ign', 'name': 'IGN'}",,eFootball PES 2021 Season Update - Full Match Gameplay - IGN,Check out a full match of eFootball PES 2021 Season Update with Manchester United against Arsenal.,https://www.ign.com/videos/efootball-pes-2021-season-update-full-match-gameplay,https://assets1.ignimgs.com/thumbs/userUploaded/2020/9/17/pesblog-1600365293632.jpg?width=1280,2020-09-18T09:22:19.3245669Z,Did you enjoy this video?
1,"{'id': 'national-geographic', 'name': 'National Geographic'}",Laura Parker,"To find a vaccine for COVID-19, will we have to deliberately infect people?","Human challenge trials, in which volunteers are given a weakened version of a pathogen, have led to breakthrough vaccines in the past.",https://www.nationalgeographic.com/science/2020/09/to-make-a-coronavirus-vaccine-we-may-need-to-deliberately-infect-people.html,https://www.nationalgeographic.com/content/dam/science/2020/09/09/challenge-trial/challengetrials-1228042291.jpg,2020-09-18T09:07:46.4809017Z,
2,"{'id': 'financial-times', 'name': 'Financial Times'}",,EU to step up pressure over migrant returns,Bloc to offer investment or visa controls to push countries to take back failed asylum seekers,https://www.ft.com/content/05837dfe-1739-4aae-9a37-aee94f588327,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F65d5c30b-7b78-4c8e-b89f-cbd3c1b71eb7.jpg?source=next-opengraph&fit=scale-down&width=900,2020-09-18T09:07:33.0779876Z,"Countries that refuse to accept the return of failed asylum seekers from the EU will face a crackdown on visas to the bloc, under proposed migration reforms given added urgency after the recent devas… [+3919 chars]"
3,"{'id': 'financial-times', 'name': 'Financial Times'}",,Norway gentleman’s club under siege over excluding women,"In a land of equality, critics say an elite institution has become an anachronism",https://www.ft.com/content/efd4b53e-ab37-45d2-b8c0-6d0e73afb5fb,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F4bcfe134-991e-47bf-ab47-a90f83b723ae.jpg?source=next-opengraph&fit=scale-down&width=900,2020-09-18T09:07:31.5783605Z,"A men-only club in one of the world’s most egalitarian countries was always an argument waiting to happen. 
So it has proved in Norway where Norske Selskab, a gentleman’s club that claims to be the … [+5073 chars]"
4,"{'id': 'financial-times', 'name': 'Financial Times'}",,Can you put a number on it? How to understand the world,"‘If we are willing to go with our brains rather than our guts, any of us can think clearly about things’",https://www.ft.com/content/af109db1-8a0f-47ea-bc49-dca75b786415,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fe6ec8871-f4e7-4bbe-bfc9-d20829961efc.jpg?source=next-opengraph&fit=scale-down&width=900,2020-09-18T09:07:29.7194494Z,"How far can common sense take us in the field of statistics? At first glance, not very. 
The discipline may be vital but it is also highly technical, and full of pitfalls and counterintuitions. Stat… [+4697 chars]"
5,"{'id': 'financial-times', 'name': 'Financial Times'}",,The future of the university in the age of Covid,"As students start a term like no other, higher education is being reinvented for the post-pandemic world",https://www.ft.com/content/9514643d-1433-408c-8464-cb4c0e09c822,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F30fbb6d5-8ee7-4457-9f4e-059677f72077.jpg?source=next-opengraph&fit=scale-down&width=900,2020-09-18T09:07:27.8917783Z,"Shortly after the start of lockdown, British households became hooked on the BBC’s adaptation of Sally Rooney’s novel Normal People. The show’s protagonists, Marianne and Connell, fall in love at sch… [+15567 chars]"
6,"{'id': 'national-geographic', 'name': 'National Geographic'}",Sarah Gibbens,Why Hurricane Sally is moving so slowly—and delivering epic rainfall,"The storm intensified quickly but trekked slowly toward land, traits scientists predict we'll see more of in our new climate reality.",https://www.nationalgeographic.com/science/2020/09/hurricane-sally-why-the-storm-is-moving-slowly-and-delivering-epic-rainfall.html,https://www.nationalgeographic.com/content/dam/science/2020/09/16/hurricane/20200914-tropicalstormsupdated.jpg,2020-09-18T09:07:27.2825549Z,
7,"{'id': 'national-geographic', 'name': 'National Geographic'}","Rachael Bale, Rachel Fobar","Pangolin scale seizures at all-time high in 2019, showing illegal trade still booming","Despite increased protections, the scaly mammals continue to be exploited for the traditional Chinese medicine market, according to a report shared exclusively with National Geographic.",https://www.nationalgeographic.com/animals/2020/09/pangolin-scale-seizures-all-time-high-2019.html,https://www.nationalgeographic.com/content/dam/animals/2020/09/pangolin-trade-china/pangolin-trade-china-2.jpg,2020-09-18T09:07:27.0951029Z,
8,"{'id': 'national-geographic', 'name': 'National Geographic'}",Rebecca Renner,Millennials and Gen Z are spreading coronavirus—but not because of parties and bars,"Younger generations are blamed for the pandemic’s spread, but also face the brunt of the transmission risk that comes with keeping the economy going.",https://www.nationalgeographic.com/science/2020/09/millennials-generation-z-coronavirus-scapegoating-beach-parties-bars-inequality-cvd.html,https://www.nationalgeographic.com/content/dam/science/2020/09/16/millennial-genz/millennials_15364101.jpg,2020-09-18T09:07:26.8764065Z,
9,"{'id': 'national-geographic', 'name': 'National Geographic'}",Rebecca Renner,Why your kid should be playing right now.,Play teaches social skills and boosts brainpower in both animals and children—and might help kids deal with the pandemic.,https://www.nationalgeographic.com/family/2020/09/letting-your-kids-act-like-animals-is-a-good-thing-coronavirus.html,https://kids.nationalgeographic.com/content/dam/kids/photos/articles/Family/coronavirus/importance-of-play.jpg,2020-09-18T09:07:26.6420889Z,
10,"{'id': 'financial-times', 'name': 'Financial Times'}",,Trump’s Northern Ireland envoy issues border warning,Former White House chief of staff Mick Mulvaney says Good Friday peace deal must be ‘preserved’,https://www.ft.com/content/e71b7301-4b35-4a13-bee2-f9446b438e05,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F2b64e9fe-8ffe-4103-b903-6f758e206a45.jpg?source=next-opengraph&fit=scale-down&width=900,2020-09-18T09:07:22.3775257Z,"Donald’s Trump special envoy to Northern Ireland has warned against creating a “hard border by accident”, as Boris Johnson presses ahead with new legislation which threatens his Brexit divorce deal w… [+4380 chars]"
11,"{'id': 'fox-news', 'name': 'Fox News'}",Fox News,"Joe Buck, voice of NFL on Fox, learns he’ll join dad in Pro Football Hall of Fame","Buck, 51, will join his late father – legendary sportscaster Jack Buck – as an inductee in the Pro Football Hall of Fame in Canton, Ohio.",https://www.foxnews.com/sports/joe-buck-voice-of-nfl-on-fox-learns-hell-join-dad-in-pro-football-hall-of-fame,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/1b108ac4-c65f-4cf5-80ae-a8ff8144f066/6d23be2a-bef8-4072-9edc-aacb175a4b01/1280x720/match/image.jpg,2020-09-18T09:07:20.2061905Z,"Thursday night was a big night for the NFL’s Cleveland Browns, who notched a win over their division rivals, the Cincinnati Bengals.
But it was an even bigger night for FOX Sports play-by-play sport… [+2080 chars]"
12,"{'id': 'financial-times', 'name': 'Financial Times'}",,Biden struggles to close enthusiasm gap with Latino voters,Democrat in race to boost popularity among Hispanics as he seeks to flip states like Arizona,https://www.ft.com/content/a8d65f78-6656-4ed5-a908-695a8be54f48,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F76e0219d-9135-448d-a17c-bbc5268645a5.jpg?source=next-opengraph&fit=scale-down&width=900,2020-09-18T09:07:19.7531786Z,"Donna Prado, the daughter of immigrants from Guatemala and Mexico, turned to politics when she was about to graduate from high school in Phoenix, taking a job as a volunteer to register Latino voters… [+7208 chars]"
13,"{'id': 'national-geographic', 'name': 'National Geographic'}",Scott Wallace,Tragic attack sparks concern for future of isolated Amazon tribes,"Mistaken for an intruder, a determined defender of Brazil’s Indigenous groups is killed in an arrow attack by isolated nomads.",https://www.nationalgeographic.com/history/2020/09/tragic-attack-concern-future-isolated-amazon-tribes.html,https://www.nationalgeographic.com/content/dam/archaeologyandhistory/2020/09/funai-death/funai-death-01.jpg,2020-09-18T09:07:07.2406672Z,
14,"{'id': 'national-geographic', 'name': 'National Geographic'}",Alejandra Borunda,The science connecting wildfires to climate change,A heating-up planet has driven huge increases in wildfire area burned over the past few decades.,https://www.nationalgeographic.com/science/2020/09/climate-change-increases-risk-fires-western-us.html,https://www.nationalgeographic.com/content/dam/science/2020/09/16/climate-change-fire/climate-change-fire-mm9468_200905_004796.jpg,2020-09-18T09:07:06.4439894Z,
15,"{'id': 'national-geographic', 'name': 'National Geographic'}",Teresa Armijo,King Tut's grandparents were Egypt's royal power couple,"For nearly four decades, Amenhotep III and his great royal wife, Tiye, ruled together over a time of peace and prosperity in ancient Egypt.",https://www.nationalgeographic.com/history/magazine/2020/09-10/king-tut-grandparents-tiye-amenhotep-egypt-royal-couple.html,https://www.nationalgeographic.com/content/dam/archaeologyandhistory/rights-exempt/history-magazine/2020/09-10/tiye-amenhotep-iii/amenhotep-tiye-busts-combined.jpg,2020-09-18T09:07:06.0222204Z,
16,"{'id': 'national-geographic', 'name': 'National Geographic'}",Virginia Morell,How wildfires have helped these woodpeckers make a comeback,"“Engineers” of forests, healthy woodpecker populations help support thousands of species.",https://www.nationalgeographic.com/animals/2020/09/fires-help-endangered-woodpeckers.html,https://www.nationalgeographic.com/content/dam/animals/2020/09/woodpeckers/01-red-cockaded-woodpecker-in-nest-cavity.jpg,2020-09-18T09:07:05.7566607Z,
17,"{'id': 'national-geographic', 'name': 'National Geographic'}",Maya Wei-Haas,Oldest footprints in Saudi Arabia reveal intriguing step in early human migration,"Animal and human tracks show the lush landscape that may have greeted Homo sapiens as they ventured into new lands more than 100,000 years ago.",https://www.nationalgeographic.com/science/2020/09/ancient-footprints-give-detailed-peek-into-early-humans-migration-from-africa.html,https://www.nationalgeographic.com/content/dam/science/2020/09/18/footprints/footprint_stewart13hr.jpg,2020-09-18T09:07:05.256786Z,
18,"{'id': 'the-globe-and-mail', 'name': 'The Globe And Mail'}",,Opinion: ‘Tough on China’ is a winning idea for Erin O’Toole – if he can decide what ‘tough’ means,"If the Conservative Leader’s hawkish policy plank is going to last, he’ll need to avoid both purely performative and nuclear-option forms of toughness",https://www.theglobeandmail.com/opinion/article-tough-on-china-is-a-winning-idea-for-erin-otoole-if-he-can-decide/,https://www.theglobeandmail.com/resizer/14knYXNY1Z_aNnOxNDPByGjUj_Q=/1200x0/filters:quality(80)/cloudfront-us-east-1.images.arcpublishing.com/tgam/G63UT66TXJNXVH7WMLSPM7XJEA.jpg,2020-09-18T09:06:37Z,"Conservative Leader Erin O'Toole holds his first news conference as leader on Parliament Hill in Ottawa on Aug. 25, 2020. 
Sean Kilpatrick/The Canadian Press
For five years, Canadas opposition has … [+5096 chars]"
