,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'financial-times', 'name': 'Financial Times'}",,Is it game over for the console?,Subscription model entices tech firms to spend big money on cloud gaming platforms,https://www.ft.com/content/ed5aba41-c174-4b1f-8f14-8637f2da0af0,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F2dfb4e46-56a9-4a46-b980-6ad959e057be.jpg?source=next-opengraph&fit=scale-down&width=900,2020-09-26T17:52:32.2581463Z,"The smartphone killed off the camera, streaming services killed the video store and cloud gaming now threatens the existence of the video game console.
The ability to play games across multiple devi… [+4330 chars]"
1,"{'id': 'financial-times', 'name': 'Financial Times'}",,"Now is a time of bubble companies, not of market bubbles","Since time immemorial cash shell listing booms have heralded fraud and collapse, but not today",https://www.ft.com/content/19f6ba3b-2995-4ddb-9d07-6a29d84a485c,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fb8278960-355f-4ea9-bb02-1916ee90bc78.jpg?source=next-opengraph&fit=scale-down&width=900,2020-09-26T17:52:30.8522462Z,"The writer is editor-in-chief of MoneyWeek
Anyone with an entrepreneurial bone in his body in 1720 Britain had his own cash shell company. Charles Mackay, in his classic history Extraordinary Popula… [+5069 chars]"
2,"{'id': 'financial-times', 'name': 'Financial Times'}",,How to start a restaurant during a pandemic,"Francie — due to open in May, then July, then August, now November — shows the ups and downs in beginning a business right now",https://www.ft.com/content/062e2ac9-e372-446a-816a-4ac2a7db10dd,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F59a7e59f-40e7-4da2-8ae9-90f4e95b12fc.jpg?source=next-opengraph&fit=scale-down&width=900,2020-09-26T17:52:29.5244532Z,"Clad in blue jeans and a monogrammed dress shirt, John Winterman exuded the calm of a seasoned maître d’ as he stood in a whirl of chaos.
Saws were buzzing and hammers thumping all around him as wor… [+14548 chars]"
3,"{'id': 'financial-times', 'name': 'Financial Times'}",,US oil groups grow less fearful of a Biden presidency,Industry’s preference in November’s election has become less clear cut,https://www.ft.com/content/22aea330-7614-487e-b282-b41438746249,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Facb4e6ba-361e-4080-955e-3abafe7585f1.jpg?source=next-opengraph&fit=scale-down&width=900,2020-09-26T17:52:27.8842348Z,"Joe Biden’s election as president would dash the US oil industry’s hopes for a swift recovery from this year’s crash, with new drilling limits cutting production and leaving the country more reliant … [+5202 chars]"
4,"{'id': 'financial-times', 'name': 'Financial Times'}",,Brexit lessons as Swiss vote on future Brussels relations,‘Yes’ win in referendum on ending free movement would scupper EU ‘framework agreement’,https://www.ft.com/content/eb22b826-1e37-4b98-96bf-561994eb1ee8,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F1b6340bb-dd8f-4323-b109-831b68d78a62.jpg?source=next-opengraph&fit=scale-down&width=900,2020-09-26T17:52:26.2127762Z,"Years of higher than expected immigration, a strained relationship with Brussels and an impending referendum to take back control of borders.
On Sunday, the Swiss will go to the polls to vote on an … [+5773 chars]"
5,"{'id': 'financial-times', 'name': 'Financial Times'}",,Donald Trump set to nominate Amy Coney Barrett to US Supreme Court,Federal appeals court judge would cement a conservative majority on the bench,https://www.ft.com/content/19d08c2e-7130-4147-a8b9-a6763bb92777,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fe1e4f795-7d9c-4def-976a-08f1f6e557fc.jpg?source=next-opengraph&fit=scale-down&width=900,2020-09-26T17:52:24.3694837Z,"Donald Trump is expected to nominate Amy Coney Barrett to the US Supreme Court, according to media reports, in a move that would decisively shift the country’s highest bench in a conservative directi… [+3660 chars]"
6,"{'id': 'buzzfeed', 'name': 'Buzzfeed'}","[{""@type"":""Person"",""name"":""foxofthemoon"",""url"":""https://www.buzzfeed.com/foxofthemoon"",""jobTitle"":""Community Contributor""}]",Choose Some Of Your Favorite Fall Things And We'll Give You A Fake College Roommate,"""And they were roommates!""",https://www.buzzfeed.com/foxofthemoon/complete-the-most-stereotypical-fall-quiz-and-wel-evzv1csvj3,"https://img.buzzfeed.com/buzzfeed-static/static/2020-09/23/19/enhanced/49f653424ccb/original-22488-1600887632-20.jpg?crop=1249:654;1,34%26downsize=1250:*",2020-09-26T17:52:23.0729318Z,Sign up to the BuzzFeed Quizzes Newsletter - Binge on the latest quizzes delivered right to your inbox with the Quizzes newsletter!
7,"{'id': 'financial-times', 'name': 'Financial Times'}",,China’s biggest chipmaker hit by US sanctions,Move against SMIC further hurts chip sector after penalties on Huawei,https://www.ft.com/content/7325dcea-e327-4054-9b24-7a12a6a2cac6,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F9518c5b5-c4e8-42fb-9cc3-aa201e4b987c.jpg?source=next-opengraph&fit=scale-down&width=900,2020-09-26T17:52:22.7605101Z,"The US government has sanctioned China’s biggest chipmaker, dealing further damage to the country’s semiconductor industry after cutting Huawei off from its chip suppliers.
On Friday, the US Departm… [+4086 chars]"
8,"{'id': 'hacker-news', 'name': 'Hacker News'}",,How to properly manage ssh keys for server access :: Päpper's Coding Blog — Have fun coding.,"Every developer needs access to some servers for example to check the application logs.
Usually, this is done using public-private key encryption where each developer generates their own public-private key pair. The public keys of each developer are added to …",https://www.paepper.com/blog/posts/how-to-properly-manage-ssh-keys-for-server-access/,https://www.paepper.com/blog/posts/how-to-properly-manage-ssh-keys-for-server-access/ssh-key-management.png,2020-09-26T17:52:19.8081199Z,"Every developer needs access to some servers for example to check the application logs.
Usually, this is done using public-private key encryption where each developer generates their own public-priv… [+8702 chars]"
9,"{'id': 'the-hindu', 'name': 'The Hindu'}",VIKAS VAUDEVA,"Shiromani Akali Dal, BJP’s oldest ally, leaves NDA over farm Bills",SAD president Sukhbir Singh Badal said the decision was unanimously taken at the party’s core committee meeting in Chandigarh.,https://www.thehindu.com/news/national/shiromani-akali-dal-bjps-oldest-ally-leaves-nda-over-farm-bills/article32704939.ece,https://www.thehindu.com/news/national/9ejtnk/article32704938.ece/ALTERNATES/LANDSCAPE_615/SUKHBIR,2020-09-26T17:44:33Z,"BJPs oldest alliance partner, the Shiromani Akali Dal, has decided to break away from the National Democratic Alliance coalition, amid the ongoing controversy over the agriculture sector bills
SAD p… [+2455 chars]"
